Afiseaza Doctorii,2019-05-07 at 08:13:13
Returneaza doctorul,2019-05-07 at 08:13:17 
Specializarea Doctorului,2019-05-07 at 08:13:17 
Cauta pacientul,2019-05-07 at 08:13:22 
Risc cardiovascular,2019-05-07 at 08:13:27 
Afiseaza pacienti,2019-05-07 at 08:43:47 
Afiseaza Doctori,2019-05-07 at 08:43:47 
Returneaza doctor,2019-05-07 at 08:43:52 
Specializarea docturului,2019-05-07 at 08:43:52 
Cauta pacient,2019-05-07 at 08:43:57 
Afiseaza Fisele,2019-05-07 at 09:13:36 
Afiseaza Doctori,2019-05-07 at 09:13:36 
Returneaza doctor,2019-05-07 at 09:13:50 
Specializarea docturului,2019-05-07 at 09:13:50 
Cauta pacient,2019-05-07 at 09:14:01 
Afiseaza Fisele,2019-05-07 at 09:15:10 
Afiseaza Doctori,2019-05-07 at 09:15:10 
Afiseaza Fisele,2019-06-01 at 15:25:11 
Afiseaza Doctori,2019-06-01 at 15:25:11 
Afiseaza Fisele,2019-06-01 at 15:50:43 
Afiseaza Doctori,2019-06-01 at 15:50:43 
Returneaza doctor,2019-06-01 at 15:50:46 
Specializarea docturului,2019-06-01 at 15:50:46 
Cauta pacient,2019-06-01 at 15:50:55 
Afiseaza Fisele,2019-06-01 at 15:51:30 
Afiseaza Doctori,2019-06-01 at 15:51:30 
Returneaza doctor,2019-06-01 at 15:51:35 
Specializarea docturului,2019-06-01 at 15:51:35 
Cauta pacient,2019-06-01 at 15:51:41 
Afiseaza Fisele,2019-06-01 at 15:53:09 
Afiseaza Doctori,2019-06-01 at 15:53:09 
Returneaza doctor,2019-06-01 at 15:53:21 
Specializarea docturului,2019-06-01 at 15:53:21 
Cauta pacient,2019-06-01 at 15:53:25 
Afiseaza Fisele,2019-06-01 at 17:00:31 
Afiseaza Doctori,2019-06-01 at 17:00:31 
Afiseaza Fisele,2019-06-01 at 17:06:30 
Afiseaza Doctori,2019-06-01 at 17:06:30 
Afiseaza Fisele,2019-06-01 at 17:07:45 
Afiseaza Doctori,2019-06-01 at 17:07:45 
Afiseaza Fisele,2019-06-01 at 17:08:41 
Afiseaza Doctori,2019-06-01 at 17:08:41 
Afiseaza Fisele,2019-06-01 at 17:10:49 
Afiseaza Doctori,2019-06-01 at 17:10:49 
Afiseaza Fisele,2019-06-01 at 17:16:30 
Afiseaza Doctori,2019-06-01 at 17:16:30 
Afiseaza Fisele,2019-06-01 at 17:20:00 
Afiseaza Doctori,2019-06-01 at 17:20:00 
Cauta pacient,2019-06-02 at 11:02:22 
Cauta pacient,2019-06-02 at 11:06:04 
Cauta pacient,2019-06-02 at 11:10:33 
Cauta pacient,2019-06-02 at 11:13:48 
Afiseaza pacienti,2019-06-02 at 11:13:48 
Cauta pacient,2019-06-02 at 11:45:07 
Afiseaza pacienti,2019-06-02 at 11:45:07 
Afiseaza Doctori,2019-06-03 at 17:39:35 
Afiseaza Doctori,2019-06-03 at 17:43:53 
Returneaza doctor,2019-06-03 at 17:44:06 
Specializarea docturului,2019-06-03 at 17:44:06 
Cauta pacient,2019-06-03 at 17:44:13 
Afiseaza Doctori,2019-06-03 at 18:01:56 
Afiseaza Doctori,2019-06-03 at 23:02:50 
Afiseaza Doctori,2019-06-03 at 23:04:23 
Afiseaza Doctori,2019-06-03 at 23:04:55 
Afiseaza Doctori,2019-06-03 at 23:11:21 
Returneaza doctor,2019-06-03 at 23:11:24 
Specializarea docturului,2019-06-03 at 23:11:24 
Cauta pacient,2019-06-03 at 23:11:31 
Afiseaza Doctori,2019-06-03 at 23:20:00 
Returneaza doctor,2019-06-03 at 23:20:04 
Specializarea docturului,2019-06-03 at 23:20:04 
Cauta pacient,2019-06-03 at 23:20:18 
Adauga analize,2019-06-03 at 23:20:23 
Afiseaza Doctori,2019-06-03 at 23:21:50 
Returneaza doctor,2019-06-03 at 23:21:55 
Specializarea docturului,2019-06-03 at 23:21:55 
Cauta pacient,2019-06-03 at 23:22:03 
Adauga analize,2019-06-03 at 23:22:05 
Afiseaza Doctori,2019-06-03 at 23:25:22 
Returneaza doctor,2019-06-03 at 23:25:26 
Specializarea docturului,2019-06-03 at 23:25:26 
Cauta pacient,2019-06-03 at 23:25:38 
Afiseaza Doctori,2019-06-03 at 23:26:13 
Returneaza doctor,2019-06-03 at 23:26:15 
Specializarea docturului,2019-06-03 at 23:26:15 
Cauta pacient,2019-06-03 at 23:26:25 
Adauga analize,2019-06-03 at 23:26:31 
Afiseaza Doctori,2019-06-03 at 23:41:37 
Returneaza doctor,2019-06-03 at 23:41:43 
Specializarea docturului,2019-06-03 at 23:41:43 
Cauta pacient,2019-06-03 at 23:41:51 
